City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Narsaq,GL,60.9167,-46.05,53.82,81,93,5.08,overcast clouds
1,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,87,90,9.22,light rain
2,Hobart,AU,-42.8794,147.3294,43.27,89,75,6.91,light rain
3,Hanna,CA,51.6334,-111.9018,89.24,15,100,13.69,overcast clouds
4,Port Blair,IN,11.6667,92.75,81.59,83,99,21.05,overcast clouds
5,Chokurdakh,RU,70.6333,147.9167,45.34,57,51,7.81,broken clouds
6,Kirovskiy,RU,45.0917,133.5136,69.62,93,100,1.63,overcast clouds
7,Lebu,CL,-37.6167,-73.65,53.83,74,29,19.89,scattered clouds
8,Sitka,US,57.0531,-135.33,62.49,72,90,10.36,overcast clouds
9,Busselton,AU,-33.65,115.3333,54.1,76,100,7.31,overcast clouds
10,Tazovskiy,RU,67.4667,78.7,55.67,85,73,6.78,broken clouds
11,Punta Arenas,CL,-53.15,-70.9167,41.02,81,40,29.93,light intensity shower rain
12,Upernavik,GL,72.7868,-56.1549,46.98,67,14,1.88,few clouds
13,Sisimiut,GL,66.9395,-53.6735,46.87,94,99,5.5,light rain
14,Morant Bay,JM,17.8815,-76.4093,90.63,69,43,12.37,scattered clouds
15,Bairiki,KI,1.3292,172.9752,84.2,70,20,6.91,few clouds
16,Udachnyy,RU,66.4167,112.4,64.42,53,96,8.19,overcast clouds
17,Faanui,PF,-16.4833,-151.75,79.45,73,45,16.35,scattered clouds
18,Chifeng,CN,42.2683,118.9636,64.18,91,84,2.33,broken clouds
19,Kapaa,US,22.0752,-159.319,84.52,76,20,7.0,few clouds
20,Cayenne,GF,4.9333,-52.3333,84.24,78,52,1.01,broken clouds
21,Perelyub,RU,51.8667,50.3667,81.73,32,48,5.57,scattered clouds
22,Tiksi,RU,71.6872,128.8694,49.6,65,94,4.23,overcast clouds
23,Mahebourg,MU,-20.4081,57.7,59.29,88,20,8.05,few clouds
24,Cabo San Lucas,MX,22.8909,-109.9124,101.8,49,75,17.27,broken clouds
25,Provideniya,RU,64.3833,-173.3,51.91,82,90,13.42,moderate rain
26,Nikolskoye,RU,59.7035,30.7861,63.39,99,100,5.32,moderate rain
27,Hualmay,PE,-11.0964,-77.6139,67.6,72,8,10.27,clear sky
28,Jamestown,US,42.097,-79.2353,73.02,47,20,3.0,few clouds
29,Ugoofaaru,MV,5.6667,73.0,82.26,74,100,5.91,overcast clouds
30,Mitu,CO,1.1983,-70.1733,78.17,70,95,2.35,overcast clouds
31,Bambous Virieux,MU,-20.3428,57.7575,59.25,88,20,8.05,few clouds
32,Wangqing,CN,43.3218,129.7634,69.37,99,100,2.37,overcast clouds
33,Namatanai,PG,-3.6667,152.4333,79.21,82,24,6.46,few clouds
34,Port Alfred,ZA,-33.5906,26.891,58.3,80,46,20.62,scattered clouds
35,Cape Town,ZA,-33.9258,18.4232,57.11,92,0,2.3,fog
36,Avarua,CK,-21.2078,-159.775,77.05,88,90,9.22,light rain
37,San Cristobal,VE,7.7669,-72.225,82.58,88,100,6.49,overcast clouds
38,Sambava,MG,-14.2667,50.1667,68.86,88,14,9.33,few clouds
39,Yaan,NG,7.3833,8.5667,73.78,91,99,5.66,moderate rain
40,Krasnogvardeyskiy,RU,57.3793,62.3195,60.73,97,100,4.34,moderate rain
41,Beringovskiy,RU,63.05,179.3167,44.87,95,100,11.68,light rain
42,Oranjestad,AW,12.524,-70.027,85.95,70,20,26.46,few clouds
43,Merauke,ID,-8.4667,140.3333,72.63,83,74,11.07,broken clouds
44,Barranca De Upia,CO,4.5696,-72.9668,70.81,95,100,3.4,overcast clouds
45,Ilulissat,GL,69.2167,-51.1,60.82,39,75,9.22,broken clouds
46,Morgantown,US,39.6295,-79.9559,77.34,49,1,3.44,clear sky
47,Constitucion,CL,-35.3333,-72.4167,60.12,63,0,10.96,clear sky
48,Vaini,TO,-21.2,-175.2,73.56,73,40,12.66,scattered clouds
49,Hasaki,JP,35.7333,140.8333,81.0,90,99,10.49,overcast clouds
50,Barrow,US,71.2906,-156.7887,44.62,81,90,20.71,overcast clouds
51,Bethel,US,41.3712,-73.414,80.73,53,75,10.36,broken clouds
52,Hilo,US,19.7297,-155.09,80.33,76,90,5.75,light rain
53,Khatanga,RU,71.9667,102.5,62.94,64,74,9.95,broken clouds
54,Heihe,CN,50.2441,127.4902,59.58,96,100,5.17,heavy intensity rain
55,Luganville,VU,-15.5333,167.1667,72.39,67,99,5.64,overcast clouds
56,Axim,GH,4.8699,-2.2405,77.07,86,51,7.45,broken clouds
57,General Roca,AR,-39.0333,-67.5833,66.6,21,66,9.71,broken clouds
58,Khandbari,NP,27.3747,87.2039,72.16,91,95,1.54,overcast clouds
59,Roald,NO,62.5833,6.1333,54.0,76,75,10.36,broken clouds
60,Saskylakh,RU,71.9167,114.0833,62.38,71,23,5.57,few clouds
61,Nicoya,CR,10.1483,-85.452,76.55,81,100,4.65,overcast clouds
62,Knysna,ZA,-34.0363,23.0471,57.58,82,5,4.09,clear sky
63,Longyearbyen,SJ,78.2186,15.6401,46.24,76,75,19.57,light rain
64,Lubango,AO,-14.9172,13.4925,56.21,36,0,4.74,clear sky
65,Pangnirtung,CA,66.1451,-65.7125,48.2,93,75,14.97,broken clouds
66,Havelock,US,34.8791,-76.9013,83.93,87,90,10.36,overcast clouds
67,Castro,BR,-24.7911,-50.0119,53.31,81,0,2.8,clear sky
68,Glotovka,RU,53.9491,46.7042,69.73,63,24,6.58,few clouds
69,Tateyama,JP,34.9833,139.8667,81.1,84,79,10.29,broken clouds
70,Georgetown,MY,5.4112,100.3354,81.9,88,20,3.44,few clouds
71,Albany,US,42.6001,-73.9662,78.46,48,16,1.99,few clouds
72,Ostrovnoy,RU,68.0531,39.5131,53.65,93,65,6.53,broken clouds
73,Christchurch,NZ,-43.5333,172.6333,46.99,85,90,11.01,light rain
74,Ushtobe,KZ,45.2514,77.9838,75.16,21,100,8.77,overcast clouds
75,Barra Patuca,HN,15.8,-84.2833,82.71,83,66,11.79,broken clouds
76,Tuatapere,NZ,-46.1333,167.6833,43.83,84,99,4.34,overcast clouds
77,Tiarei,PF,-17.5333,-149.3333,82.42,73,96,14.38,overcast clouds
78,Businga,CD,3.3333,20.8833,70.25,93,92,1.63,overcast clouds
79,Asau,RO,46.4333,26.4,69.28,82,31,3.69,light rain
80,Guerrero Negro,MX,27.9769,-114.0611,85.19,45,14,11.88,few clouds
81,Iqaluit,CA,63.7506,-68.5145,51.53,93,75,4.0,fog
82,Guiratinga,BR,-16.3494,-53.7583,84.33,23,0,4.65,clear sky
83,Belmonte,BR,-15.8631,-38.8828,70.3,73,57,9.37,broken clouds
84,Sao Filipe,CV,14.8961,-24.4956,76.6,82,33,5.44,scattered clouds
85,Erenhot,CN,43.6475,111.9767,72.72,44,100,8.16,light rain
86,Qaanaaq,GL,77.484,-69.3632,45.28,66,100,4.38,overcast clouds
87,Santa Lucia,ES,27.9117,-15.5407,66.76,73,20,24.16,few clouds
88,Pacific Grove,US,36.6177,-121.9166,88.63,70,1,7.0,clear sky
89,Port Elizabeth,ZA,-33.918,25.5701,57.49,82,75,12.66,broken clouds
90,Tete,MZ,-16.1564,33.5867,64.49,52,0,0.0,clear sky
91,Esperance,AU,-33.8667,121.9,46.24,83,100,10.63,overcast clouds
92,Sindgi,IN,16.9167,76.2333,72.91,82,100,17.22,overcast clouds
93,Antofagasta,CL,-23.65,-70.4,58.28,67,1,4.27,clear sky
94,Porto Velho,BR,-8.7619,-63.9039,93.25,21,0,9.22,clear sky
95,Hermanus,ZA,-34.4187,19.2345,57.79,90,3,10.0,clear sky
96,Luderitz,NA,-26.6481,15.1594,67.08,37,0,2.33,clear sky
97,Kapit,MY,2.0167,112.9333,73.42,95,80,1.43,broken clouds
98,Yuanping,CN,38.7153,112.7575,66.04,92,99,0.81,overcast clouds
99,Bredasdorp,ZA,-34.5322,20.0403,57.27,93,20,3.44,few clouds
100,Tamboril,DO,19.4854,-70.611,88.57,58,40,11.5,scattered clouds
101,Bubaque,GW,11.2833,-15.8333,79.27,82,98,18.72,overcast clouds
