City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,San Lawrenz,MT,2021-08-03 00:33:42,36.0553,14.204,83.86,59,58,5.93
1,Grants,US,2021-08-03 00:33:42,35.1473,-107.8514,70.03,52,90,3.44
2,Sabang,ID,2021-08-03 00:33:43,5.8933,95.3214,82.92,75,100,19.75
3,Caravelas,BR,2021-08-03 00:33:43,-17.7125,-39.2481,66.16,80,86,3.62
4,Busselton,AU,2021-08-03 00:33:43,-33.65,115.3333,55.13,79,99,7.63
5,Punta Arenas,CL,2021-08-03 00:33:44,-53.15,-70.9167,39.31,81,20,33.38
6,Albany,US,2021-08-03 00:29:20,42.6001,-73.9662,68.79,68,3,8.57
7,Chapais,CA,2021-08-03 00:33:44,49.7834,-74.8492,64.18,66,100,9.64
8,Mahebourg,MU,2021-08-03 00:33:44,-20.4081,57.7,59.29,88,20,5.75
9,Tignere,CM,2021-08-03 00:33:44,7.3667,12.65,64.31,98,100,3.11
10,Vaini,TO,2021-08-03 00:33:45,-21.2,-175.2,75.36,73,20,12.66
11,Bethel,US,2021-08-03 00:33:45,41.3712,-73.414,73.99,75,75,3.44
12,Nanortalik,GL,2021-08-03 00:32:31,60.1432,-45.2371,44.11,96,100,1.68
13,Iqaluit,CA,2021-08-03 00:33:45,63.7506,-68.5145,49.73,93,75,3.44
14,Ribeira Grande,PT,2021-08-03 00:29:42,38.5167,-28.7,73.0,92,54,7.85
15,Hobart,AU,2021-08-03 00:33:41,-42.8794,147.3294,50.11,83,75,3.0
16,Rikitea,PF,2021-08-03 00:29:22,-23.1203,-134.9692,69.93,55,82,19.6
17,Bluff,NZ,2021-08-03 00:33:46,-46.6,168.3333,49.8,59,10,7.27
18,Sikeston,US,2021-08-03 00:33:47,36.8767,-89.5879,78.84,65,1,5.75
19,Hithadhoo,MV,2021-08-03 00:29:18,-0.6,73.0833,81.82,73,100,6.2
20,Yellowknife,CA,2021-08-03 00:32:10,62.456,-114.3525,89.29,29,75,9.22
21,Shenjiamen,CN,2021-08-03 00:33:47,29.9576,122.298,77.67,94,100,9.84
22,Haines Junction,CA,2021-08-03 00:32:47,60.7522,-137.5108,75.15,43,100,9.22
23,Geraldton,AU,2021-08-03 00:33:47,-28.7667,114.6,47.12,87,0,8.05
24,Shimoda,JP,2021-08-03 00:32:26,34.6667,138.95,86.36,82,100,7.76
25,Ixtapa,MX,2021-08-03 00:33:37,20.7,-105.2,85.23,79,75,9.22
26,Marrakesh,MA,2021-08-03 00:33:48,31.6315,-8.0083,71.67,64,0,6.91
27,Nikolskoye,RU,2021-08-03 00:29:51,59.7035,30.7861,59.81,97,100,15.35
28,Hobyo,SO,2021-08-03 00:32:30,5.3505,48.5268,77.49,73,68,20.58
